nb_cvxp,idx,,nb_SECs,nb_SDCs,nb_GBCs,Time_SECs,Time_SDCs,Time_GBCs,Model time,MIPGap,ObjVal
6,1,0.75,4,0,6,4.05E-05,0,0.0644734,0.103965759,0,36.01046324
6,2,0.75,4,0,4,4.76E-05,0,0.0390638,0.046966553,0,31.24391122
6,3,0.75,4,0,5,4.37E-05,0,0.045016,0.06196785,0,31.59313565
6,4,0.75,4,0,4,3.81E-05,0,0.0384413,0.040998459,0,38.69512104
6,5,0.75,8,0,10,8.73E-05,0,0.1025337,0.134971619,0,43.73750342
6,11,1,4,0,4,4.14E-05,0,0.0387898,0.040998459,0,33.74465156
6,12,1,4,0,14,3.97E-05,0,0.1426988,0.191970825,0,15.90928441
6,13,1,10,0,13,9.29E-05,0,0.1249921,0.14496994,0,33.84675573
6,14,1,6,0,14,5.50E-05,0,0.1371779,0.168003082,0,38.91626323
6,15,1,8,0,15,9.05E-05,0,0.1349213,0.19099617,0,41.45131094
6,21,1.25,8,0,8,7.86E-05,0,0.0775599,0.112997055,0,27.31194011
6,22,1.25,8,0,6,0.0001081,0,0.0568501,0.062969208,0,37.9974734
6,23,1.25,6,0,13,6.12E-05,0,0.1230885,0.139972687,0,32.33059916
6,24,1.25,8,0,9,8.65E-05,0,0.0874324,0.098991394,0,34.9204033
6,25,1.25,2,0,9,1.62E-05,0,0.0797926,0.096969604,0,26.98959527
8,1,0.75,14,0,23,0.0001396,0,0.3785897,0.44499588,0,32.90316496
8,2,0.75,20,0,10,0.0002209,0,0.1499737,0.200971603,0,33.13340772
8,3,0.75,8,0,10,0.0001087,0,0.1549538,0.231969833,0,36.95645527
8,4,0.75,30,0,15,0.0003058,0,0.2411158,0.294002533,0,33.15476434
8,5,0.75,4,0,16,5.88E-05,0,0.2393073,0.333997726,0,38.51203587
8,11,1,4,0,10,3.82E-05,0,0.1403047,0.163995743,0,38.29607831
8,12,1,10,0,12,0.0001201,0,0.2075113,0.255973816,0,32.91312444
8,13,1,10,0,22,0.0001083,0,0.361874,0.425992966,0,34.6308831
