nb_cvxp,idx,nb_SECs,nb_SDCs,nb_GBCs,Time_SECs,Time_SDCs,Time_GBCs,Model Time,MIPGap,ObjVal
6,1,4,2,2,3.95E-05,6.75E-05,0.0285918,0.036966324,0,29.32131447
6,2,18,6,8,0.0001911,0.0002009,0.0819481,0.106966019,0,31.24391122
6,3,10,5,4,8.83E-05,0.0001662,0.0403603,0.057966232,0,27.1232064
6,4,14,4,2,0.0001067,0.0001152,0.0197484,0.034000397,0,36.5062475
6,5,6,3,2,5.09E-05,8.13E-05,0.0215628,0.032957077,0,36.5199487
6,11,26,10,9,0.0002692,0.0003238,0.0992451,0.130998611,0,37.46554894
6,12,34,12,7,0.0002918,0.0003534,0.0905014,0.12195015,0,14.9861795
6,13,18,6,9,0.000138,0.0002026,0.0949784,0.11999321,0,33.84675793
6,14,16,5,7,0.0001247,0.000167,0.0775559,0.099988937,0,36.25637892
6,15,24,11,12,0.0002193,0.0003791,0.1275916,0.163991928,0,35.67105056
6,21,28,13,24,0.0002175,0.0004628,0.2801857,0.315998077,0,26.96837408
6,22,14,6,4,8.79E-05,0.000132,0.0388977,0.056009293,0,37.9974734
6,23,16,6,10,0.0001218,0.0001993,0.0979822,0.134981155,0,31.95304669
6,24,26,11,16,0.0001876,0.0003677,0.1784751,0.230998993,0,34.75220238
6,25,54,45,13,0.0004823,0.0011023,0.1338809,0.197980881,0,30.4476562
8,1,54,44,18,0.0004808,0.0010584,0.3151034,0.371982574,0,29.80229097
8,2,36,13,15,0.0003098,0.0004302,0.2336939,0.343460083,0,31.81107081
8,3,10,2,3,0.0001036,0.0001053,0.0454639,0.086988449,0,28.38253873
8,4,36,14,8,0.000316,0.0003715,0.1320441,0.183998108,0,30.38901349
8,5,22,8,5,0.0001829,0.0002187,0.0767355,0.129966736,0,34.25210818
8,11,22,9,7,0.0002051,0.00029,0.1066449,0.169967651,0,37.98885275
8,12,74,30,25,0.000656,0.000902,0.457757,0.522974014,0,31.60840976
8,13,56,52,27,0.0004608,0.001306,0.4887056,0.563009262,0,34.62714105
8,14,30,13,4,0.0002506,0.000303,0.0632313,0.112997055,0,30.1776975
8,15,26,8,8,0.0002248,0.0002853,0.1305493,0.187973022,0,32.60223411
8,21,28,5,9,0.0002578,0.0002005,0.1340781,0.183027267,0,28.02606345
8,22,24,11,2,0.0002258,0.0002444,0.031428,0.07843399,0,38.49049653
8,23,42,17,33,0.000357,0.0006322,0.5594165,0.626998901,0,29.92461732
8,24,46,12,8,0.0004263,0.0004363,0.1492359,0.209972382,0,27.69557248
8,25,34,13,9,0.0002709,0.0003658,0.1545469,0.193998337,0,31.4302356
10,1,182,154,29,0.0014479,0.0035779,0.7037902,0.833974838,0,36.10538094
10,2,236,207,48,0.0018393,0.0044122,1.1759785,1.338600159,0,38.68396704
10,3,104,38,34,0.0009254,0.0011551,0.8428046,0.930973053,0,45.33206681
10,4,78,34,46,0.0006726,0.0011595,1.0055364,1.085037231,0,41.58760341
10,5,38,12,6,0.0003786,0.000414,0.1552299,0.199991226,0,38.51142781
10,11,160,37,49,0.0015035,0.0015013,1.2348527,1.345285416,0,34.55242214
10,12,154,117,28,0.0013288,0.0028455,0.7560703,0.875486374,0,34.1485046
10,13,72,29,28,0.0008692,0.0015027,0.8090837,0.868000031,0,28.62499087
10,14,28,10,20,0.0002791,0.0005051,0.5708673,0.607990265,0,31.31082257
10,15,24,5,8,0.0001914,0.0002565,0.197784,0.235992432,0,44.15542198
10,21,50,33,14,0.0004571,0.0009235,0.3572607,0.402996063,0,38.12769175
10,22,180,52,32,0.0015711,0.0017495,0.7953525,0.863965988,0,32.19470324
10,23,54,20,27,0.0004433,0.0006247,0.7115474,0.745975494,0,29.73259552
