0,1,2,3,4,raio,time,7,8,raio,time,11,12,,time,15,16,,time
ret_cvxp_10_1,cvxps_size,2.8367565,cutoff-w-sep-10,0.631375491,0.222569505,0.0991708,cutoff-w-sep-16,0.710967491,0.250626901,0.1695501,cutoff-w-sep-22,0.79405548,0.279916687,0.2323994,cutoff-w-sep-28,0.870967223,0.307029251,0.3082499
ret_cvxp_10_11,cvxps_size,3.249825,cutoff-w-sep-10,0.390059267,0.120024699,0.1449059,cutoff-w-sep-16,0.439460908,0.135226022,0.2142383,cutoff-w-sep-22,0.439083796,0.135109982,0.2965107,cutoff-w-sep-28,0.457059457,0.140641252,0.3710612
ret_cvxp_10_12,cvxps_size,3.9774635,cutoff-w-sep-10,0.952402737,0.239449774,0.1206713,cutoff-w-sep-16,0.993058438,0.249671289,0.2012122,cutoff-w-sep-22,1.402621677,0.35264225,0.2733251,cutoff-w-sep-28,1.373704594,0.345372018,0.3472705
ret_cvxp_10_13,cvxps_size,4.8245595,cutoff-w-sep-10,0.591032296,0.122504924,0.1047589,cutoff-w-sep-16,0.670574656,0.138991893,0.1424145,cutoff-w-sep-22,0.674202904,0.13974393,0.2025675,cutoff-w-sep-28,0.833752784,0.172814282,0.2530731
ret_cvxp_10_14,cvxps_size,4.5776385,cutoff-w-sep-10,1.071871699,0.234153854,0.140201,cutoff-w-sep-16,1.006749561,0.219927712,0.2273313,cutoff-w-sep-22,1.24699222,0.272409501,0.2765888,cutoff-w-sep-28,1.257179643,0.274634977,0.3724279
ret_cvxp_10_15,cvxps_size,4.021653,cutoff-w-sep-10,0.908827889,0.225983666,0.1065388,cutoff-w-sep-16,0.900808366,0.22398958,0.1833074,cutoff-w-sep-22,0.937358885,0.233078012,0.2418144,cutoff-w-sep-28,1.060581943,0.263717915,0.3135324
ret_cvxp_10_2,cvxps_size,2.380369,cutoff-w-sep-10,0.488682172,0.205296814,0.1427252,cutoff-w-sep-16,0.345288989,0.145056917,0.2138749,cutoff-w-sep-22,0.570540927,0.239685917,0.3006084,cutoff-w-sep-28,0.509118788,0.213882297,0.3818589
ret_cvxp_10_21,cvxps_size,6.4613885,cutoff-w-sep-10,2.118170482,0.327819707,0.1599597,cutoff-w-sep-16,2.240981407,0.3468266,0.253223,cutoff-w-sep-22,2.529565883,0.39148952,0.3402903,cutoff-w-sep-28,2.351073134,0.363865001,0.4010881
ret_cvxp_10_22,cvxps_size,6.7769675,cutoff-w-sep-10,1.203194081,0.177541663,0.1392161,cutoff-w-sep-16,1.836511817,0.270993157,0.2139351,cutoff-w-sep-22,2.00655667,0.296084741,0.3010549,cutoff-w-sep-28,1.98244072,0.292526225,0.3879996
ret_cvxp_10_23,cvxps_size,7.306966,cutoff-w-sep-10,1.787418243,0.244618388,0.1621788,cutoff-w-sep-16,1.864963503,0.255230899,0.2230571,cutoff-w-sep-22,2.2137921,0.302970084,0.3230844,cutoff-w-sep-28,2.751105708,0.376504517,0.4024024
ret_cvxp_10_24,cvxps_size,5.6025865,cutoff-w-sep-10,1.258820138,0.224685534,0.1315901,cutoff-w-sep-16,1.332480766,0.237833145,0.1988646,cutoff-w-sep-22,1.714904158,0.306091509,0.2733922,cutoff-w-sep-28,1.814216572,0.323817682,0.3430746
ret_cvxp_10_25,cvxps_size,6.762294,cutoff-w-sep-10,1.550522205,0.229289381,0.1099641,cutoff-w-sep-16,1.963772616,0.290400361,0.1858975,cutoff-w-sep-22,1.947609192,0.288010133,0.2477664,cutoff-w-sep-28,2.111909557,0.312306675,0.3174457
ret_cvxp_10_3,cvxps_size,2.364533,cutoff-w-sep-10,0.407054694,0.172150143,0.1428245,cutoff-w-sep-16,0.577274939,0.244139092,0.2300947,cutoff-w-sep-22,0.571928463,0.241877979,0.3126803,cutoff-w-sep-28,0.576552442,0.243833536,0.3989245
ret_cvxp_10_4,cvxps_size,2.51481,cutoff-w-sep-10,0.512619787,0.203840365,0.0876632,cutoff-w-sep-16,0.561992715,0.22347323,0.1272229,cutoff-w-sep-22,0.600918617,0.238951896,0.1796717,cutoff-w-sep-28,0.589183602,0.234285533,0.2353659
ret_cvxp_10_5,cvxps_size,2.706844,cutoff-w-sep-10,0.455649816,0.168332499,0.1221357,cutoff-w-sep-16,0.556851657,0.205719893,0.2052082,cutoff-w-sep-22,0.649358352,0.239895004,0.2722372,cutoff-w-sep-28,0.685950426,0.253413357,0.3656681
ret_cvxp_12_1,cvxps_size,2.837682,cutoff-w-sep-10,0.573507616,0.202104258,0.1445739,cutoff-w-sep-16,0.578252757,0.203776448,0.1937818,cutoff-w-sep-22,0.687881888,0.242409787,0.2710603,cutoff-w-sep-28,0.836126652,0.294651287,0.3512212
ret_cvxp_12_11,cvxps_size,4.9709765,cutoff-w-sep-10,1.13109282,0.227539362,0.1406244,cutoff-w-sep-16,1.028789546,0.206959246,0.2142281,cutoff-w-sep-22,1.210248928,0.243463015,0.2957338,cutoff-w-sep-28,1.12185794,0.225681602,0.3654545
ret_cvxp_12_12,cvxps_size,5.253909,cutoff-w-sep-10,0.81111225,0.154382622,0.1343115,cutoff-w-sep-16,1.037048809,0.197386138,0.2122169,cutoff-w-sep-22,1.141786543,0.21732134,0.2926884,cutoff-w-sep-28,1.114835539,0.212191635,0.353777
ret_cvxp_12_13,cvxps_size,5.145976,cutoff-w-sep-10,0.94684999,0.183998136,0.1767064,cutoff-w-sep-16,1.029079337,0.199977485,0.2858238,cutoff-w-sep-22,1.079342853,0.209745023,0.3793306,cutoff-w-sep-28,1.112631409,0.216213874,0.480854
ret_cvxp_12_14,cvxps_size,5.458462,cutoff-w-sep-10,0.801186329,0.146778768,0.1929588,cutoff-w-sep-16,0.854126074,0.156477424,0.2955455,cutoff-w-sep-22,0.913588753,0.167371093,0.3981986,cutoff-w-sep-28,1.165808826,0.213578262,0.5104146
ret_cvxp_12_15,cvxps_size,5.0984065,cutoff-w-sep-10,1.083762382,0.212568845,0.172669,cutoff-w-sep-16,1.234546713,0.242143641,0.2840209,cutoff-w-sep-22,1.572216624,0.308374121,0.377819,cutoff-w-sep-28,1.799118046,0.352878502,0.4879941
ret_cvxp_12_2,cvxps_size,2.4370415,cutoff-w-sep-10,0.643295467,0.263965742,0.1939042,cutoff-w-sep-16,0.680348662,0.279169912,0.302639,cutoff-w-sep-22,0.761345646,0.312405696,0.4036105,cutoff-w-sep-28,0.819980701,0.336465629,0.5285646
ret_cvxp_12_21,cvxps_size,7.066614,cutoff-w-sep-10,1.321364209,0.186986895,0.1635766,cutoff-w-sep-16,1.55554749,0.220126285,0.2523159,cutoff-w-sep-22,1.645417433,0.232843825,0.3554302,cutoff-w-sep-28,2.001983332,0.283301639,0.4471419
ret_cvxp_12_22,cvxps_size,8.669288,cutoff-w-sep-10,1.671080846,0.192758719,0.1427629,cutoff-w-sep-16,2.063637907,0.238040068,0.2165264,cutoff-w-sep-22,2.010540015,0.231915241,0.2960121,cutoff-w-sep-28,2.366863608,0.27301707,0.3816097
ret_cvxp_12_23,cvxps_size,9.222295,cutoff-w-sep-10,1.804982984,0.195719502,0.1394059,cutoff-w-sep-16,1.856911909,0.201350305,0.2252338,cutoff-w-sep-22,2.378465493,0.257903862,0.3126024,cutoff-w-sep-28,2.634638122,0.285681397,0.3885903
